C:\Users\송지수\Desktop\Data\IMG\center_2020_03_14_20_22_13_641.jpg, C:\Users\송지수\Desktop\Data\IMG\left_2020_03_14_20_22_13_641.jpg, C:\Users\송지수\Desktop\Data\IMG\right_2020_03_14_20_22_13_641.jpg, 0, 0, 0, 1.137952
C:\Users\송지수\Desktop\Data\IMG\center_2020_03_14_20_22_13_748.jpg, C:\Users\송지수\Desktop\Data\IMG\left_2020_03_14_20_22_13_748.jpg, C:\Users\송지수\Desktop\Data\IMG\right_2020_03_14_20_22_13_748.jpg, 0, 0, 0, 1.124375
C:\Users\송지수\Desktop\Data\IMG\center_2020_03_14_20_22_13_852.jpg, C:\Users\송지수\Desktop\Data\IMG\left_2020_03_14_20_22_13_852.jpg, C:\Users\송지수\Desktop\Data\IMG\right_2020_03_14_20_22_13_852.jpg, 0, 0, 0, 1.108262
C:\Users\송지수\Desktop\Data\IMG\center_2020_03_14_20_22_13_960.jpg, C:\Users\송지수\Desktop\Data\IMG\left_2020_03_14_20_22_13_960.jpg, C:\Users\송지수\Desktop\Data\IMG\right_2020_03_14_20_22_13_960.jpg, 0, 0, 0, 1.094983
C:\Users\송지수\Desktop\Data\IMG\center_2020_03_14_20_22_14_063.jpg, C:\Users\송지수\Desktop\Data\IMG\left_2020_03_14_20_22_14_063.jpg, C:\Users\송지수\Desktop\Data\IMG\right_2020_03_14_20_22_14_063.jpg, 0, 0, 0, 1.081838
C:\Users\송지수\Desktop\Data\IMG\center_2020_03_14_20_22_14_163.jpg, C:\Users\송지수\Desktop\Data\IMG\left_2020_03_14_20_22_14_163.jpg, C:\Users\송지수\Desktop\Data\IMG\right_2020_03_14_20_22_14_163.jpg, 0, 0, 0, 1.068824
C:\Users\송지수\Desktop\Data\IMG\center_2020_03_14_20_22_14_267.jpg, C:\Users\송지수\Desktop\Data\IMG\left_2020_03_14_20_22_14_267.jpg, C:\Users\송지수\Desktop\Data\IMG\right_2020_03_14_20_22_14_267.jpg, 0, 0, 0, 1.055941
C:\Users\송지수\Desktop\Data\IMG\center_2020_03_14_20_22_14_372.jpg, C:\Users\송지수\Desktop\Data\IMG\left_2020_03_14_20_22_14_372.jpg, C:\Users\송지수\Desktop\Data\IMG\right_2020_03_14_20_22_14_372.jpg, 0, 0, 0, 1.040652
C:\Users\송지수\Desktop\Data\IMG\center_2020_03_14_20_22_14_477.jpg, C:\Users\송지수\Desktop\Data\IMG\left_2020_03_14_20_22_14_477.jpg, C:\Users\송지수\Desktop\Data\IMG\right_2020_03_14_20_22_14_477.jpg, 0, 0, 0, 1.028052
C:\Users\송지수\Desktop\Data\IMG\center_2020_03_14_20_22_14_584.jpg, C:\Users\송지수\Desktop\Data\IMG\left_2020_03_14_20_22_14_584.jpg, C:\Users\송지수\Desktop\Data\IMG\right_2020_03_14_20_22_14_584.jpg, 0, 0, 0, 1.015578
